MORPH,RESIDUAL testes volume 
Independent,0.38769
Independent,0.09913
Independent,-0.2527
Independent,-0.36776
Independent,-0.56158
Independent,-0.75202
Independent,-0.36301
Independent,0.45899
Independent,-0.34196
Independent,0.12003
Independent,-0.21978
Independent,0.35259
Independent,-1.23948
Independent,0.05851
Independent,0.97801
Independent,0.10819
Independent,0.95498
Independent,0.66012
Independent,-0.40154
Independent,-1.43218
Independent,-1.74272
Independent,-0.51758
Independent,-1.1889
Independent,-0.9146
Independent,0.50471
Independent,-0.61845
Independent,-0.22131
Independent,-0.27488
Independent,0.0384
Satellite,1.89283
Satellite,0.7685
Satellite,-0.73654
Satellite,1.53479
Faeder,0.03798
Faeder,1.21233
Faeder,0.51432
Faeder,0.77625
Faeder,-0.01317
Faeder,0.70183
